topology,trial,behavior,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,7,strong,0.05,random,6.0,11.0,1.0,1.0,606.0,0.917,17523.0,0.937,8597.0,7660.0,912.0,126.0,0.05
ER,7,strong,0.05,degree,7.0,13.0,1.0,1.0,568.0,0.918,17190.0,0.937,8777.0,7840.0,913.0,119.0,0.05
ER,7,strong,0.05,betweenness,5.0,10.0,1.0,1.0,588.0,0.915,18033.0,0.937,8245.0,7308.0,910.0,138.0,0.05
ER,7,strong,0.05,kcore,9.0,14.0,1.0,1.0,605.0,0.908,17972.0,0.935,8481.0,7546.0,903.0,155.0,0.05
ER,7,strong,0.05,collective_influence,6.0,12.0,1.0,1.0,600.0,0.918,18416.0,0.939,8536.0,7597.0,913.0,154.0,0.05
ER,7,strong,0.05,community_bridge,7.0,13.0,1.0,1.0,605.0,0.92,18593.0,0.937,8553.0,7616.0,915.0,151.0,0.05
ER,7,degree_correlated,0.05,random,6.0,9.0,1.0,1.0,686.0,0.933,17596.0,0.938,6056.0,5118.0,928.0,129.0,0.05
ER,7,degree_correlated,0.05,degree,6.0,10.0,1.0,1.0,671.0,0.936,18339.0,0.937,6510.0,5573.0,931.0,174.0,0.05
ER,7,degree_correlated,0.05,betweenness,6.0,10.0,1.0,1.0,698.0,0.937,19864.0,0.94,5991.0,5051.0,932.0,187.0,0.05
ER,7,degree_correlated,0.05,kcore,8.0,12.0,1.0,1.0,660.0,0.928,18319.0,0.937,6509.0,5572.0,923.0,162.0,0.05
ER,7,degree_correlated,0.05,collective_influence,7.0,11.0,1.0,1.0,660.0,0.933,18574.0,0.937,6606.0,5669.0,928.0,137.0,0.05
ER,7,degree_correlated,0.05,community_bridge,6.0,11.0,1.0,1.0,646.0,0.928,18373.0,0.938,6578.0,5640.0,923.0,149.0,0.05
ER,6,homogeneous,0.05,random,6.0,10.0,1.0,1.0,688.0,0.94,19177.0,0.942,7282.0,6340.0,935.0,179.0,0.05
